0,1,2,3,4,5,6,7,8,9,10
hamburger meat,soda,,,,,,,,,
napkins,frozen vegetables,,,,,,,,,
beef,other vegetables,,,,,,,,,
sausage,cream,,,,,,,,,
soda,grapes,,,,,,,,,
frozen chicken,white wine,,,,,,,,,
turkey,semi-finished bread,,,,,,,,,
pork,brown bread,bottled beer,shopping bags,,,,,,,
meat,bottled beer,liquor,waffles,,,,,,,
pot plants,other vegetables,,,,,,,,,
sausage,pastry,,,,,,,,,
dessert,newspapers,,,,,,,,,
cake bar,soda,,,,,,,,,
sparkling wine,chocolate,,,,,,,,,
beef,specialty bar,white bread,,,,,,,,
canned beer,candy,,,,,,,,,
detergent,rolls/buns,,,,,,,,,
salty snack,whole milk,domestic eggs,shopping bags,,,,,,,
rolls/buns,oil,yogurt,,,,,,,,
liver loaf,bottled beer,,,,,,,,,
sausage,yogurt,whole milk,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
pork,sugar,,,,,,,,,
whipped/sour cream,herbs,flour,oil,,,,,,,
hamburger meat,tropical fruit,whipped/sour cream,rolls/buns,,,,,,,
root vegetables,sausage,condensed milk,other vegetables,canned beer,white bread,hard cheese,frozen vegetables,,,
whipped/sour cream,white bread,,,,,,,,,
bottled water,butter milk,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
pip fruit,pork,seasonal products,canned beer,,,,,,,
pip fruit,whole milk,tropical fruit,,,,,,,,
other vegetables,canned beer,,,,,,,,,
Instant food products,pip fruit,,,,,,,,,
flower (seeds),white wine,,,,,,,,,
yogurt,long life bakery product,,,,,,,,,
fruit/vegetable juice,specialty chocolate,Instant food products,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
bottled beer,UHT-milk,,,,,,,,,
hamburger meat,bottled beer,domestic eggs,,,,,,,,
canned beer,yogurt,soda,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
waffles,rolls/buns,,,,,,,,,
waffles,whole milk,other vegetables,white bread,,,,,,,
specialty chocolate,soda,,,,,,,,,
UHT-milk,frozen meals,,,,,,,,,
pip fruit,shopping bags,white wine,pet care,,,,,,,
soda,soda,roll products ,,,,,,,,
ham,other vegetables,napkins,,,,,,,,
hard cheese,domestic eggs,,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
other vegetables,specialty chocolate,,,,,,,,,
zwieback,frozen dessert,shopping bags,cream cheese ,,,,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,whole milk,canned beer,Instant food products,,,,,,,
rolls/buns,pastry,,,,,,,,,
pip fruit,whole milk,napkins,,,,,,,,
shopping bags,curd,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,softener,domestic eggs,soda,,,,,,,
whipped/sour cream,soda,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
other vegetables,yogurt,yogurt,,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
soft cheese,pork,white bread,fruit/vegetable juice,,,,,,,
misc. beverages,whole milk,,,,,,,,,
sausage,meat spreads,domestic eggs,,,,,,,,
specialty bar,chicken,,,,,,,,,
napkins,photo/film,,,,,,,,,
soda,butter,,,,,,,,,
beef,dessert,,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
liver loaf,onions,,,,,,,,,
canned beer,soda,white bread,,,,,,,,
curd,rolls/buns,,,,,,,,,
other vegetables,vinegar,,,,,,,,,
cream cheese ,salt,,,,,,,,,
newspapers,napkins,,,,,,,,,
bottled water,beef,,,,,,,,,
sausage,pot plants,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
pet care,pastry,,,,,,,,,
tropical fruit,coffee,waffles,whipped/sour cream,,,,,,,
dish cleaner,rolls/buns,frozen potato products,frozen vegetables,,,,,,,
sausage,root vegetables,,,,,,,,,
frankfurter,cream cheese ,,,,,,,,,
beef,domestic eggs,,,,,,,,,
misc. beverages,whole milk,,,,,,,,,
soda,soda,,,,,,,,,
berries,shopping bags,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
tropical fruit,soda,,,,,,,,,
tropical fruit,UHT-milk,butter milk,,,,,,,,
root vegetables,misc. beverages,frozen dessert,,,,,,,,
whole milk,newspapers,hygiene articles,,,,,,,,
frozen meals,sugar,,,,,,,,,
sparkling wine,tropical fruit,,,,,,,,,
liver loaf,canned beer,candy,,,,,,,,
frankfurter,bottled beer,,,,,,,,,
whole milk,white bread,,,,,,,,,
pasta,sausage,rolls/buns,root vegetables,flower (seeds),,,,,,
other vegetables,other vegetables,butter,,,,,,,,
chicken,other vegetables,,,,,,,,,
butter,soft cheese,,,,,,,,,
grapes,onions,,,,,,,,,
rolls/buns,yogurt,napkins,,,,,,,,
coffee,bottled water,,,,,,,,,
rolls/buns,yogurt,hard cheese,,,,,,,,
sausage,curd,,,,,,,,,
whole milk,whole milk,napkins,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
tropical fruit,chewing gum,,,,,,,,,
yogurt,canned beer,,,,,,,,,
beef,soft cheese,,,,,,,,,
beef,specialty bar,,,,,,,,,
oil,canned fish,,,,,,,,,
bottled beer,frozen meals,,,,,,,,,
rolls/buns,white bread,,,,,,,,,
liquor,brown bread,whole milk,,,,,,,,
other vegetables,margarine,,,,,,,,,
whipped/sour cream,frankfurter,rolls/buns,citrus fruit,candy,bottled beer,yogurt,whole milk,,,
citrus fruit,tropical fruit,,,,,,,,,
rolls/buns,butter,,,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
root vegetables,napkins,,,,,,,,,
sausage,bottled water,whole milk,,,,,,,,
other vegetables,soda,,,,,,,,,
pot plants,citrus fruit,whipped/sour cream,,,,,,,,
butter,cake bar,ice cream,fruit/vegetable juice,,,,,,,
domestic eggs,pastry,,,,,,,,,
grapes,root vegetables,,,,,,,,,
UHT-milk,butter milk,frozen vegetables,other vegetables,candy,fruit/vegetable juice,,,,,
shopping bags,newspapers,,,,,,,,,
pip fruit,sweet spreads,,,,,,,,,
curd,ice cream,,,,,,,,,
canned beer,pork,processed cheese,root vegetables,snack products,sugar,,,,,
grapes,herbs,,,,,,,,,
chicken,whole milk,curd,frozen meals,beverages,,,,,,
sausage,pip fruit,,,,,,,,,
shopping bags,hard cheese,yogurt,,,,,,,,
UHT-milk,herbs,butter,oil,,,,,,,
other vegetables,whole milk,,,,,,,,,
tropical fruit,white bread,,,,,,,,,
pork,long life bakery product,,,,,,,,,
organic sausage,pip fruit,newspapers,whipped/sour cream,,,,,,,
pork,bottled water,,,,,,,,,
beef,whipped/sour cream,,,,,,,,,
whole milk,tropical fruit,rolls/buns,soap,,,,,,,
red/blush wine,frozen meals,canned fruit,,,,,,,,
canned fish,coffee,,,,,,,,,
beverages,root vegetables,frozen meals,,,,,,,,
citrus fruit,specialty bar,,,,,,,,,
spread cheese,chocolate marshmallow,,,,,,,,,
soda,pip fruit,,,,,,,,,
other vegetables,grapes,,,,,,,,,
other vegetables,curd,,,,,,,,,
whole milk,chocolate marshmallow,rolls/buns,,,,,,,,
other vegetables,other vegetables,soda,dish cleaner,,,,,,,
ham,whole milk,,,,,,,,,
canned fruit,dog food,,,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
soda,snack products,whole milk,,,,,,,,
other vegetables,yogurt,pastry,,,,,,,,
onions,curd,,,,,,,,,
pork,pip fruit,,,,,,,,,
berries,white bread,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
sugar,whole milk,,,,,,,,,
white bread,rolls/buns,,,,,,,,,
sausage,pork,,,,,,,,,
chicken,other vegetables,,,,,,,,,
herbs,root vegetables,,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
soda,sliced cheese,,,,,,,,,
newspapers,specialty chocolate,,,,,,,,,
tropical fruit,citrus fruit,male cosmetics,,,,,,,,
whole milk,hard cheese,,,,,,,,,
yogurt,beverages,brown bread,,,,,,,,
canned beer,sausage,other vegetables,rolls/buns,,,,,,,
whole milk,other vegetables,,,,,,,,,
shopping bags,sausage,,,,,,,,,
ham,rolls/buns,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
photo/film,canned beer,,,,,,,,,
other vegetables,canned fish,,,,,,,,,
onions,curd,,,,,,,,,
rice,chewing gum,rolls/buns,,,,,,,,
pip fruit,butter,,,,,,,,,
oil,flour,,,,,,,,,
yogurt,pastry,waffles,,,,,,,,
UHT-milk,bottled water,,,,,,,,,
specialty bar,frozen meals,kitchen towels,whole milk,,,,,,,
frozen meals,soda,,,,,,,,,
rolls/buns,soda,,,,,,,,,
female sanitary products,pot plants,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
beef,dessert,,,,,,,,,
whole milk,whole milk,,,,,,,,,
ice cream,curd,,,,,,,,,
misc. beverages,coffee,,,,,,,,,
sausage,frozen meals,soda,,,,,,,,
citrus fruit,berries,,,,,,,,,
butter milk,soda,rolls/buns,,,,,,,,
bottled water,yogurt,butter,,,,,,,,
cream cheese ,beverages,,,,,,,,,
butter milk,pickled vegetables,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
specialty chocolate,turkey,canned beer,soda,dental care,,,,,,
hamburger meat,butter,,,,,,,,,
whipped/sour cream,pot plants,,,,,,,,,
nuts/prunes,vinegar,,,,,,,,,
canned fish,butter,pot plants,,,,,,,,
butter milk,mayonnaise,,,,,,,,,
frozen vegetables,pastry,,,,,,,,,
sugar,napkins,,,,,,,,,
citrus fruit,pork,root vegetables,dishes,curd,rolls/buns,candy,yogurt,,,
citrus fruit,domestic eggs,,,,,,,,,
sugar,bottled water,,,,,,,,,
pork,rolls/buns,roll products ,,,,,,,,
sausage,other vegetables,,,,,,,,,
waffles,yogurt,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
detergent,butter,,,,,,,,,
specialty bar,shopping bags,chocolate,,,,,,,,
whole milk,margarine,,,,,,,,,
domestic eggs,softener,,,,,,,,,
soda,citrus fruit,,,,,,,,,
whole milk,whole milk,,,,,,,,,
whole milk,specialty bar,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
whole milk,white wine,,,,,,,,,
chicken,root vegetables,whole milk,rolls/buns,,,,,,,
baking powder,bottled water,,,,,,,,,
soda,spread cheese,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
tropical fruit,bottled water,pastry,flour,,,,,,,
chicken,tropical fruit,whipped/sour cream,,,,,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,onions,cream cheese ,,,,,,,,
tropical fruit,citrus fruit,soda,,,,,,,,
pork,candles,,,,,,,,,
citrus fruit,liquor,,,,,,,,,
onions,rolls/buns,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
rolls/buns,berries,meat spreads,,,,,,,,
soda,other vegetables,,,,,,,,,
canned beer,dishes,,,,,,,,,
meat,soda,,,,,,,,,
instant coffee,onions,processed cheese,dental care,,,,,,,
butter,chewing gum,,,,,,,,,
cat food,rolls/buns,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
pip fruit,soda,brown bread,,,,,,,,
chicken,UHT-milk,napkins,,,,,,,,
chicken,salty snack,yogurt,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
pip fruit,citrus fruit,curd,,,,,,,,
tropical fruit,citrus fruit,domestic eggs,root vegetables,,,,,,,
dessert,margarine,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
hamburger meat,tropical fruit,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
meat,root vegetables,,,,,,,,,
whole milk,yogurt,,,,,,,,,
tropical fruit,condensed milk,,,,,,,,,
pastry,brown bread,,,,,,,,,
frankfurter,soda,,,,,,,,,
dessert,bottled beer,,,,,,,,,
bottled beer,shopping bags,soda,,,,,,,,
bottled beer,whipped/sour cream,,,,,,,,,
whole milk,specialty bar,,,,,,,,,
soda,other vegetables,,,,,,,,,
turkey,curd,sugar,,,,,,,,
whole milk,soda,,,,,,,,,
canned fruit,whole milk,,,,,,,,,
citrus fruit,napkins,,,,,,,,,
root vegetables,pastry,other vegetables,rolls/buns,,,,,,,
tropical fruit,sugar,,,,,,,,,
pastry,semi-finished bread,,,,,,,,,
Instant food products,yogurt,,,,,,,,,
whole milk,beef,,,,,,,,,
pip fruit,candles,,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
tropical fruit,sausage,,,,,,,,,
tropical fruit,dessert,,,,,,,,,
ham,root vegetables,margarine,whipped/sour cream,,,,,,,
beef,berries,,,,,,,,,
pork,butter,,,,,,,,,
soft cheese,rolls/buns,,,,,,,,,
ham,chewing gum,frozen vegetables,,,,,,,,
meat spreads,chocolate,,,,,,,,,
chicken,butter milk,,,,,,,,,
ham,soda,,,,,,,,,
grapes,yogurt,frozen potato products,,,,,,,,
pip fruit,cling film/bags,,,,,,,,,
rolls/buns,cream cheese ,brown bread,,,,,,,,
margarine,margarine,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
whole milk,sausage,pork,coffee,,,,,,,
sauces,misc. beverages,,,,,,,,,
oil,fruit/vegetable juice,domestic eggs,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
chicken,flower (seeds),onions,rolls/buns,,,,,,,
soda,pip fruit,hygiene articles,oil,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
tropical fruit,rolls/buns,canned beer,dish cleaner,,,,,,,
frankfurter,butter milk,,,,,,,,,
beef,butter milk,yogurt,soda,,,,,,,
tropical fruit,whole milk,,,,,,,,,
beverages,bottled water,yogurt,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
whole milk,whole milk,,,,,,,,,
ham,canned vegetables,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
finished products,cream cheese ,,,,,,,,,
yogurt,sauces,specialty chocolate,,,,,,,,
shopping bags,other vegetables,newspapers,domestic eggs,,,,,,,
curd,shopping bags,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
bottled water,yogurt,spices,fruit/vegetable juice,,,,,,,
pip fruit,soda,,,,,,,,,
whole milk,butter,,,,,,,,,
dessert,onions,,,,,,,,,
whole milk,root vegetables,sausage,frozen vegetables,chocolate,,,,,,
tropical fruit,yogurt,,,,,,,,,
chocolate,frozen fish,,,,,,,,,
bottled water,specialty bar,,,,,,,,,
citrus fruit,white bread,,,,,,,,,
chocolate,herbs,chocolate,,,,,,,,
citrus fruit,soda,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
other vegetables,sliced cheese,canned vegetables,,,,,,,,
light bulbs,whole milk,,,,,,,,,
frankfurter,other vegetables,ham,other vegetables,other vegetables,fruit/vegetable juice,rolls/buns,fruit/vegetable juice,rolls/buns,,
root vegetables,grapes,whole milk,,,,,,,,
tropical fruit,whipped/sour cream,canned vegetables,,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
hamburger meat,other vegetables,chocolate marshmallow,,,,,,,,
frozen vegetables,yogurt,bottled beer,,,,,,,,
cream cheese ,candy,,,,,,,,,
chicken,sugar,,,,,,,,,
tropical fruit,pastry,cream cheese ,,,,,,,,
whole milk,pastry,,,,,,,,,
citrus fruit,cat food,,,,,,,,,
flower (seeds),bottled beer,,,,,,,,,
frozen potato products,salt,coffee,,,,,,,,
yogurt,bottled water,,,,,,,,,
pip fruit,curd,pip fruit,prosecco,,,,,,,
bottled water,newspapers,,,,,,,,,
other vegetables,soap,,,,,,,,,
whole milk,bottled beer,rolls/buns,domestic eggs,semi-finished bread,fruit/vegetable juice,,,,,
zwieback,whole milk,domestic eggs,,,,,,,,
brown bread,canned beer,,,,,,,,,
soft cheese,long life bakery product,,,,,,,,,
ice cream,canned beer,semi-finished bread,,,,,,,,
meat,rum,,,,,,,,,
berries,other vegetables,fruit/vegetable juice,whole milk,specialty bar,,,,,,
root vegetables,skin care,,,,,,,,,
whole milk,berries,specialty chocolate,white bread,,,,,,,
tropical fruit,white bread,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
hard cheese,mayonnaise,,,,,,,,,
bottled beer,rolls/buns,,,,,,,,,
other vegetables,sugar,oil,,,,,,,,
other vegetables,grapes,,,,,,,,,
whole milk,soda,,,,,,,,,
mayonnaise,shopping bags,,,,,,,,,
sliced cheese,bottled water,,,,,,,,,
ham,tropical fruit,popcorn,,,,,,,,
yogurt,hard cheese,,,,,,,,,
sausage,berries,rolls/buns,,,,,,,,
beef,other vegetables,,,,,,,,,
pastry,bottled beer,,,,,,,,,
rum,rolls/buns,,,,,,,,,
citrus fruit,yogurt,specialty bar,chocolate,,,,,,,
tropical fruit,coffee,softener,soda,,,,,,,
soda,newspapers,,,,,,,,,
flower soil/fertilizer,tropical fruit,,,,,,,,,
chewing gum,soda,,,,,,,,,
whole milk,soda,tea,,,,,,,,
whole milk,yogurt,semi-finished bread,,,,,,,,
bottled beer,hamburger meat,other vegetables,,,,,,,,
dessert,pickled vegetables,,,,,,,,,
newspapers,red/blush wine,,,,,,,,,
whole milk,shopping bags,yogurt,canned beer,,,,,,,
meat,root vegetables,,,,,,,,,
butter milk,rolls/buns,,,,,,,,,
root vegetables,zwieback,,,,,,,,,
beverages,rice,,,,,,,,,
sugar,pickled vegetables,fruit/vegetable juice,yogurt,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
bottled water,bottled beer,,,,,,,,,
onions,domestic eggs,long life bakery product,pastry,,,,,,,
grapes,other vegetables,,,,,,,,,
pip fruit,specialty bar,long life bakery product,,,,,,,,
whole milk,chewing gum,,,,,,,,,
canned beer,berries,male cosmetics,fruit/vegetable juice,,,,,,,
bottled water,yogurt,rolls/buns,newspapers,frozen dessert,rolls/buns,,,,,
citrus fruit,soda,,,,,,,,,
chocolate,waffles,,,,,,,,,
detergent,other vegetables,oil,beverages,rolls/buns,specialty bar,,,,,
beef,hamburger meat,newspapers,rum,meat spreads,whipped/sour cream,,,,,
domestic eggs,newspapers,,,,,,,,,
rolls/buns,frozen meals,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
citrus fruit,whole milk,pastry,other vegetables,,,,,,,
soda,onions,pastry,,,,,,,,
bottled water,beverages,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
candy,chewing gum,,,,,,,,,
misc. beverages,rolls/buns,,,,,,,,,
bottled beer,whole milk,other vegetables,,,,,,,,
pork,soda,brandy,sausage,rolls/buns,whole milk,yogurt,frozen dessert,shopping bags,,
frankfurter,other vegetables,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
hamburger meat,butter milk,,,,,,,,,
pip fruit,white wine,,,,,,,,,
yogurt,pot plants,,,,,,,,,
soda,yogurt,,,,,,,,,
candy,baking powder,canned fish,,,,,,,,
whole milk,other vegetables,,,,,,,,,
canned beer,bottled beer,pip fruit,candy,,,,,,,
liquor (appetizer),chocolate,soda,,,,,,,,
root vegetables,whole milk,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
cream cheese ,cream cheese ,,,,,,,,,
chicken,nut snack,,,,,,,,,
yogurt,curd,,,,,,,,,
whole milk,yogurt,chocolate,,,,,,,,
curd cheese,other vegetables,herbs,fruit/vegetable juice,zwieback,,,,,,
soda,specialty cheese,candy,,,,,,,,
pork,whole milk,,,,,,,,,
soda,soda,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
chicken,shopping bags,,,,,,,,,
margarine,sugar,,,,,,,,,
tropical fruit,whipped/sour cream,whipped/sour cream,,,,,,,,
whole milk,whipped/sour cream,domestic eggs,house keeping products,,,,,,,
pork,finished products,ice cream,shopping bags,rolls/buns,,,,,,
sausage,cat food,,,,,,,,,
bottled water,soda,,,,,,,,,
root vegetables,rolls/buns,shopping bags,,,,,,,,
soda,soda,,,,,,,,,
soups,whole milk,beef,bottled beer,,,,,,,
whole milk,yogurt,sliced cheese,,,,,,,,
newspapers,root vegetables,margarine,,,,,,,,
whole milk,whole milk,ham,pip fruit,hard cheese,frozen fish,shopping bags,pot plants,,,
rolls/buns,other vegetables,whipped/sour cream,,,,,,,,
frankfurter,pork,sliced cheese,candy,pastry,shopping bags,,,,,
pork,citrus fruit,UHT-milk,dessert,,,,,,,
frozen dessert,beef,citrus fruit,root vegetables,,,,,,,
whole milk,frozen potato products,fruit/vegetable juice,,,,,,,,
cling film/bags,UHT-milk,pastry,,,,,,,,
yogurt,bottled water,berries,,,,,,,,
candy,specialty fat,,,,,,,,,
semi-finished bread,napkins,,,,,,,,,
misc. beverages,zwieback,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
pot plants,rolls/buns,,,,,,,,,
other vegetables,margarine,,,,,,,,,
whole milk,candy,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
white bread,rolls/buns,whipped/sour cream,,,,,,,,
soda,beef,,,,,,,,,
sugar,citrus fruit,napkins,,,,,,,,
napkins,cocoa drinks,shopping bags,,,,,,,,
dessert,packaged fruit/vegetables,,,,,,,,,
salty snack,coffee,,,,,,,,,
female sanitary products,cleaner,coffee,sauces,,,,,,,
rolls/buns,misc. beverages,,,,,,,,,
other vegetables,butter milk,,,,,,,,,
whole milk,waffles,dessert,,,,,,,,
tidbits,whole milk,frozen vegetables,,,,,,,,
ham,other vegetables,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
whole milk,bottled water,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
specialty chocolate,domestic eggs,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
hamburger meat,fruit/vegetable juice,,,,,,,,,
meat,cake bar,,,,,,,,,
sausage,soda,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
frozen meals,other vegetables,bottled beer,,,,,,,,
berries,whole milk,,,,,,,,,
root vegetables,shopping bags,frozen vegetables,,,,,,,,
beef,napkins,,,,,,,,,
beef,long life bakery product,,,,,,,,,
salty snack,rolls/buns,,,,,,,,,
curd,yogurt,domestic eggs,,,,,,,,
berries,pastry,,,,,,,,,
pork,tropical fruit,seasonal products,,,,,,,,
root vegetables,sliced cheese,shopping bags,sliced cheese,,,,,,,
hamburger meat,white bread,,,,,,,,,
chocolate,herbs,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
ham,chocolate marshmallow,,,,,,,,,
canned beer,butter,butter milk,citrus fruit,,,,,,,
rolls/buns,sausage,whole milk,pastry,yogurt,dessert,curd,yogurt,,,
condensed milk,rolls/buns,organic products,,,,,,,,
coffee,other vegetables,,,,,,,,,
hamburger meat,pasta,,,,,,,,,
frozen vegetables,yogurt,,,,,,,,,
onions,shopping bags,seasonal products,,,,,,,,
soda,pastry,,,,,,,,,
cling film/bags,whipped/sour cream,coffee,,,,,,,,
chicken,whole milk,,,,,,,,,
beef,butter,yogurt,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
meat,sausage,baking powder,pastry,,,,,,,
pork,UHT-milk,frozen fish,,,,,,,,
ham,brown bread,,,,,,,,,
bottled water,salty snack,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
UHT-milk,tropical fruit,,,,,,,,,
specialty bar,other vegetables,misc. beverages,,,,,,,,
canned beer,soda,,,,,,,,,
sausage,dish cleaner,,,,,,,,,
beef,frozen vegetables,,,,,,,,,
whole milk,popcorn,,,,,,,,,
liquor,margarine,,,,,,,,,
sugar,whole milk,ketchup,,,,,,,,
ice cream,butter,,,,,,,,,
shopping bags,newspapers,curd,hard cheese,,,,,,,
whole milk,sliced cheese,dish cleaner,,,,,,,,
pork,yogurt,,,,,,,,,
bottled water,grapes,,,,,,,,,
sausage,other vegetables,margarine,curd,pastry,newspapers,,,,,
sausage,yogurt,baking powder,,,,,,,,
frankfurter,frozen dessert,other vegetables,cream cheese ,,,,,,,
bottled water,bottled beer,,,,,,,,,
yogurt,soda,,,,,,,,,
root vegetables,dog food,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
soda,canned beer,,,,,,,,,
margarine,bottled beer,,,,,,,,,
citrus fruit,beef,tropical fruit,curd,,,,,,,
brown bread,curd,,,,,,,,,
sausage,curd,,,,,,,,,
canned fish,rolls/buns,domestic eggs,,,,,,,,
yogurt,whole milk,ham,citrus fruit,frozen vegetables,whole milk,,,,,
curd,whipped/sour cream,,,,,,,,,
root vegetables,Instant food products,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
brown bread,citrus fruit,,,,,,,,,
canned beer,cream cheese ,,,,,,,,,
pip fruit,specialty fat,,,,,,,,,
beef,yogurt,,,,,,,,,
citrus fruit,yogurt,citrus fruit,other vegetables,,,,,,,
rolls/buns,soda,,,,,,,,,
citrus fruit,liquor (appetizer),,,,,,,,,
misc. beverages,dishes,,,,,,,,,
tropical fruit,citrus fruit,yogurt,frankfurter,specialty chocolate,hard cheese,whole milk,canned beer,,,
citrus fruit,rolls/buns,whole milk,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
chicken,soda,dishes,,,,,,,,
white wine,whole milk,,,,,,,,,
pork,rolls/buns,,,,,,,,,
sausage,coffee,female sanitary products,,,,,,,,
whole milk,whole milk,candles,,,,,,,,
white wine,specialty cheese,,,,,,,,,
bottled water,cream cheese ,bottled beer,,,,,,,,
rolls/buns,red/blush wine,canned beer,,,,,,,,
root vegetables,flour,,,,,,,,,
whole milk,citrus fruit,,,,,,,,,
frozen meals,soda,,,,,,,,,
root vegetables,pip fruit,other vegetables,canned beer,,,,,,,
butter milk,zwieback,domestic eggs,,,,,,,,
ham,yogurt,hard cheese,rolls/buns,,,,,,,
pip fruit,cream cheese ,,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
other vegetables,onions,,,,,,,,,
yogurt,condensed milk,yogurt,,,,,,,,
whole milk,baking powder,,,,,,,,,
onions,pork,,,,,,,,,
domestic eggs,hamburger meat,shopping bags,,,,,,,,
sauces,rolls/buns,,,,,,,,,
whole milk,grapes,,,,,,,,,
soda,salty snack,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
rolls/buns,yogurt,sugar,,,,,,,,
other vegetables,cooking chocolate,,,,,,,,,
whole milk,beverages,frozen fruits,fruit/vegetable juice,,,,,,,
brown bread,skin care,whipped/sour cream,,,,,,,,
chicken,margarine,,,,,,,,,
frankfurter,sliced cheese,butter,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
misc. beverages,packaged fruit/vegetables,,,,,,,,,
bottled water,baking powder,UHT-milk,,,,,,,,
beef,pasta,,,,,,,,,
whole milk,whole milk,,,,,,,,,
butter milk,frozen vegetables,,,,,,,,,
whole milk,turkey,long life bakery product,,,,,,,,
beef,curd,frozen meals,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
chicken,curd,,,,,,,,,
white bread,citrus fruit,sugar,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
specialty chocolate,candles,,,,,,,,,
white bread,frozen vegetables,,,,,,,,,
soda,rolls/buns,,,,,,,,,
frankfurter,newspapers,,,,,,,,,
beef,soft cheese,,,,,,,,,
hamburger meat,whipped/sour cream,sugar,newspapers,,,,,,,
sausage,rolls/buns,,,,,,,,,
chicken,whole milk,margarine,soda,,,,,,,
brown bread,curd,,,,,,,,,
onions,oil,,,,,,,,,
whole milk,canned beer,specialty bar,sugar,detergent,,,,,,
coffee,cat food,,,,,,,,,
misc. beverages,frozen meals,,,,,,,,,
whole milk,flower (seeds),,,,,,,,,
frankfurter,sausage,,,,,,,,,
citrus fruit,hamburger meat,other vegetables,specialty chocolate,,,,,,,
processed cheese,rolls/buns,canned fish,,,,,,,,
onions,long life bakery product,,,,,,,,,
brown bread,domestic eggs,,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
soda,chocolate,,,,,,,,,
whole milk,soda,mayonnaise,,,,,,,,
pip fruit,seasonal products,,,,,,,,,
canned beer,detergent,cake bar,,,,,,,,
